 Name, City, IATA, Latitude, Longitude
Jijel Ferhat Abbas Airport,Jijel,GJL,36.79510117,5.87361002
Mecheria Airport,Mecheria,MZW,33.53590012,-0.242353007
Relizane Airport,Relizane,\N,35.752201,0.626272
Rabah Bitat Airport,Annaba,AAE,36.822201,7.809174
Mohamed Boudiaf International Airport,Constantine,CZL,36.27600098,6.620389938
Cheikh Larbi Tébessi Airport,Tebessa,TEE,35.43159866,8.12071991
Hassi R'Mel Airport,Tilrempt,HRM,32.93040085,3.311539888
Bou Chekif Airport,Tiaret,TID,35.34109879,1.463150024
Bou Sfer Airport,Bou Sfer,\N,35.73540115,-0.805388987
Tindouf Airport,Tindouf,TIN,27.7003994,-8.167099953
Ech Cheliff Airport,Ech-cheliff,CFK,36.21269989,1.331769943
Tafaraoui Airport,Oran,TAF,35.54240036,-0.532278001
Zenata – Messali El Hadj Airport,Tlemcen,TLM,35.01670074,-1.450000048
Es Senia Airport,Oran,ORN,35.62390137,-0.621182978
Sidi Bel Abbes Airport,Sidi Bel Abbes,BFW,35.17179871,-0.593275011
Ghriss Airport,Ghriss,MUW,35.20769882,0.147141993
Touat Cheikh Sidi Mohamed Belkebir Airport,Adrar,AZR,27.83760071,-0.186414003
Biskra Airport,Biskra,BSK,34.79330063,5.738230228
El Golea Airport,El Golea,ELG,30.57130051,2.859590054
Noumérat - Moufdi Zakaria Airport,Ghardaia,GHA,32.38410187,3.79411006
Oued Irara Airport,Hassi Messaoud,HME,31.67300034,6.140439987
In Salah Airport,In Salah,INZ,27.25099945,2.512020111
Touggourt Sidi Madhi Airport,Touggourt,TGR,33.06779861,6.088669777
Laghouat Airport,Laghouat,LOO,33.76440048,2.928339958
Timimoun Airport,Timimoun,TMX,29.2371006,0.276033014
Ain el Beida Airport,Ouargla,OGX,31.91720009,5.412779808
In Aménas Airport,Zarzaitine,IAM,28.0515,9.64291
Cadjehoun Airport,Cotonou,COO,6.357230186,2.384350061
Ouagadougou Airport,Ouagadougou,OUA,12.3532,-1.51242
Bobo Dioulasso Airport,Bobo-dioulasso,BOY,11.16009998,-4.33096981
